Date Achat;Id Client;Num Site;Mnt Achat;Nb Achat
02/01/2013;6124912;2;11000;1
02/01/2013;5979614;2;6000;1
02/01/2013;5911062;3;13000;1
03/01/2013;5911602;3;13000;1
04/01/2013;5725883;2;8000;1
04/01/2013;5810906;6;0;0
04/01/2013;5810906;6;6000;1
07/01/2013;6261651;3;12000;1
07/01/2013;5866523;2;5000;1
07/01/2013;6261651;3;9000;1
07/01/2013;5749086;3;67000;1
07/01/2013;6254472;2;9000;1
06/01/2013;6254472;2;3000;1
07/01/2013;6119512;5;58000;1
08/01/2013;5737156;5;0;0
07/01/2013;6183905;2;2000;1
07/01/2013;5217148;3;19000;1
07/01/2013;6261651;3;6000;1
09/01/2013;5224845;2;13000;1
08/01/2013;5306709;2;6000;1
08/01/2013;5948564;2;89000;1
09/01/2013;6245207;2;4000;1
09/01/2013;6298982;6;17000;1
09/01/2013;5207337;5;2000;1
10/01/2013;5971067;6;18000;1
11/01/2013;6312330;5;1000;1
11/01/2013;5695738;2;6000;1
11/01/2013;5847490;3;22000;1
11/01/2013;5230226;7;4000;1
13/01/2013;6323650;6;16000;1
12/01/2013;5725883;2;0;0
13/01/2013;6278944;3;349000;1
13/01/2013;6249907;5;32000;1
14/01/2013;6300752;2;10000;1
14/01/2013;5776507;2;14000;1
15/01/2013;6231012;5;20000;1
14/01/2013;6116444;6;47000;1
14/01/2013;5908877;2;15000;1
15/01/2013;6254472;2;7000;1
15/01/2013;5202838;6;8000;1
16/01/2013;5776664;6;23000;1
16/01/2013;6189845;2;0;0
16/01/2013;6247024;3;24000;1
16/01/2013;6249137;5;9000;1
17/01/2013;6284640;6;8000;1
17/01/2013;5614816;6;16000;1
18/01/2013;5959033;2;7000;1
18/01/2013;5751662;3;38000;1
18/01/2013;6289092;3;59000;1
18/01/2013;6249137;5;101000;1
18/01/2013;6291655;6;25000;1
19/01/2013;6162069;3;91000;1
19/01/2013;5224845;2;17000;1
19/01/2013;5971067;6;0;0
21/01/2013;6143788;2;14000;1
21/01/2013;5739634;2;5000;1
21/01/2013;6159238;2;4000;1
22/01/2013;5996673;4;2000;1
23/01/2013;6197118;5;66000;1
22/01/2013;5977787;2;7000;1
22/01/2013;6310971;6;0;0
22/01/2013;5863485;6;2000;1
23/01/2013;5908877;2;0;0
23/01/2013;6197118;5;53000;1
23/01/2013;6300752;2;0;0
26/01/2013;5831414;2;12000;1
25/01/2013;5725883;2;0;0
25/01/2013;5728689;2;12000;1
25/01/2013;6314118;3;469000;1
